lib32-libelf 0.195-1
lib32-libepoxy 1.5.10-2
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.12.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
lib32-libgudev 238-3
lib32-libice 1.1.1-2
lib32-libidn2 2.3.8-1
lib32-libjpeg-turbo 3.1.4.1-1
lib32-libldap 2.6.13-1
lib32-libltdl 2.6.1-1
lib32-libmodplug 0.8.9.0-5
lib32-libnghttp2 1.69.0-1
lib32-libnghttp3 1.16.0-1
lib32-libngtcp2 1.23.0-1
lib32-libnl 3.12.0-1
lib32-libnm 1.56.1-1
lib32-libnsl 2.0.1-2
lib32-libogg 1.3.6-1
lib32-libpcap 1.10.6-1
lib32-libpciaccess 0.19-1
lib32-libpipewire 1:1.6.6-1
lib32-libpng 1.6.58-1
lib32-libpsl 0.21.5-1
lib32-libpulse 17.0+r98+gb096704c0-1
lib32-librsvg 2:2.62.3-1
lib32-libsm 1.2.6-1
lib32-libsndfile 1.2.2-3
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.21.0-1
lib32-libthai 0.1.29-3
lib32-libtheora 1.2.0-1
lib32-libtiff 4.7.1-1
lib32-libtirpc 1.3.7-1
lib32-libunistring 1.4.2-1
lib32-libunwind 1.8.2-1
lib32-libusb 1.0.30-1
lib32-libva 2.22.0-1
lib32-libvdpau 1.5-3
lib32-libvorbis 1.3.7-4
lib32-libvpx 1.16.0-2
lib32-libwebp 1.6.0-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcomposite 0.4.7-1
lib32-libxcrypt 4.5.2-1
lib32-libxcrypt-compat 4.5.2-1
lib32-libxcursor 1.2.3-1
lib32-libxdamage 1.1.7-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxfixes 6.0.1-2
lib32-libxft 2.3.9-1
lib32-libxi 1.8.3-1
lib32-libxinerama 1.1.6-1
lib32-libxkbcommon 1.13.2-1
lib32-libxml2 2.15.3-1
lib32-libxmu 1.3.1-1
lib32-libxrandr 1.5.5-1
